,Winter,Rainy,River
0,2.6104446243773847,1.6291581698876691,Dhaleshwari
1,2.202314334242723,1.480305276604644,Dhaleshwari
2,3.0745960496896396,1.7576232822627131,Dhaleshwari
3,2.7903772390979573,1.4694183573670352,Dhaleshwari
4,2.7216555976820724,1.7532463185229945,Dhaleshwari
5,1.7258216194889215,1.1121489739168369,Dhaleshwari
6,1.2959549449972196,1.2644595959824683,Dhaleshwari
7,8.510215862289684,2.416447511064237,Turag
8,9.676781023239437,4.181235369369166,Turag
9,6.525146600808084,2.9409184419071277,Turag
10,9.757475979074375,4.877183046028083,Buriganga
11,12.752256107212926,6.318009214840601,Buriganga
12,1.8486420662219012,1.193536402632382,Balu
13,1.3602610463088736,0.9121693946234934,Balu
14,3.2849864853230457,2.57739345279536,Shitalakshya
15,9.214559440082017,4.07722110413578,Shitalakshya
16,9.183394370320144,4.073612068109593,Shitalakshya
