,Winter,Rainy,Stations
0,0.5272728449523582,0.32944361821785756,Dhaleshwari
1,0.48574458949509663,0.31004848878865104,Dhaleshwari
2,0.5545034869420266,0.34205088078475504,Dhaleshwari
3,0.5161034129194373,0.31632128708944124,Dhaleshwari
4,0.5412421604088946,0.35656863018282897,Dhaleshwari
5,0.40938498008639995,0.24344497988676492,Dhaleshwari
6,0.37172026227847726,0.2785577751825216,Dhaleshwari
7,0.7809549448297927,0.39657707837200734,Turag
8,0.8509777951670445,0.5293277085096557,Turag
9,0.6723754812387673,0.4572854157111763,Turag
10,0.9709820773922194,0.6702817756805587,Buriganga
11,1.1488940786131456,0.7814944487260918,Buriganga
12,0.3377339823575118,0.23904189804636053,Balu
13,0.27043007717997575,0.18945957725694038,Balu
14,0.5866378879553321,0.45355595918618224,Shitalakshya
15,0.9620129033613821,0.6018424185160494,Shitalakshya
16,0.968737153771028,0.6094231511558084,Shitalakshya
