,Cr,Ni,Cu,As,Cd,Pb
0,106.58,34.35,69.95,9.12,4.43,105.9
1,104.28,27.1,75.12,13.79,3.82,96.14
2,89.77,59.33,71.13,26.17,2.95,77.36
3,71.55,49.17,92.34,25.35,2.36,90.48
4,100.15,50.68,100.22,28.37,2.1,79.1
5,86.2,23.32,189.14,14.2,1.5,63.44
6,105.53,22.18,112.23,21.37,1.36,40.55
7,18.19,81.17,100.19,12.54,3.69,233.47
8,17.16,85.22,105.64,14.23,5.14,250.11
9,13.56,57.59,98.65,19.87,2.9,217.8
10,93.3,71.63,177.37,12.81,7.1,259.1
11,118.1,79.25,261.1,9.32,9.1,297.4
12,17.11,39.41,75.15,7.49,2.31,64.1
13,12.9,25.78,79.57,8.53,1.53,59.8
14,80.03,28.1,105.2,20.68,9.11,96.87
15,62.13,71.22,115.48,19.83,14.93,190.4
16,58.8,69.53,169.29,21.77,12.7,210.65
