,CrW,CrR,NiW,NiR,CuW,CuR,AsW,AsR,CdW,CdR,PbW,PbR,Stations
0,1.9164792196925324,1.787239267206379,1.8495803448210921,1.3820830230600945,2.2414807577412357,1.7021941847458797,1.324863356683133,1.237742214223313,2.8301876995032416,2.1930785860303046,2.208111915379745,1.5282891588553325,Dhaleshwari
1,1.8956875937650899,1.7453896211453612,1.6428370032203627,1.3091827250280623,2.322838123057629,1.7277421363389636,1.6291302296289445,1.3789615017729249,2.6281191904575185,2.317349831536316,2.1039003221997303,1.33828281718406,Dhaleshwari
2,1.758862417512291,1.5186028925793116,2.4307875597876087,1.9330418020204103,2.2603076760157004,1.8850032821555973,2.244272203960505,1.7260729534604324,2.3095341268730545,1.9486014589088223,1.887258246686922,1.2286942038387056,Dhaleshwari
3,1.5702582205186997,1.3837173140044223,2.2128905544309267,1.6116236223302576,2.57534899768809,2.23859493624282,2.2088318255701207,1.9006659986249268,2.065710121617509,1.799036155402353,2.041030042141313,1.4135721038260594,Dhaleshwari
4,1.8577690931301276,1.4908917582554408,2.2466123089028605,1.7462741454125532,2.682985680324054,2.292804519549002,2.3367020372387963,2.0084883104730937,1.9486014589088223,1.6191883749067009,1.9083645610871223,1.5701922837496751,Dhaleshwari
5,1.7235341366047026,1.442131602076947,1.523961880456369,1.0803727877943776,3.6858091844837326,2.6568909497223587,1.6531712406765406,1.416144365636979,1.6468688137669858,1.2176439133566617,1.7090496842058749,1.3206206576742148,Dhaleshwari
6,1.9070155120324217,1.5461517056569716,1.4862456680703475,1.220198332682412,2.8391977162596937,2.6357201665194405,2.028037262778033,1.9560585909936383,1.5681327686288258,1.3243392272036472,1.3663706683095371,1.24136917611549,Dhaleshwari
7,0.7917400353595679,0.7355565765569518,2.8432012662332493,2.014776694287338,2.6825840858579912,2.303430987832299,1.553539991949784,1.4786413090401642,2.5830128046150613,1.980811929617998,3.2786015728379265,2.125238157949312,Turag
8,0.7689974477004392,0.6625992967772396,2.9132690554884775,1.9816329704092033,2.7545797584158556,2.5026458567709406,1.6549166269525777,1.4403997911324398,3.04856132335211,2.55131819564316,3.3934279246022303,2.8009663827666405,Turag
9,0.6835906303006711,0.6193181941771105,2.3948778659770045,2.1637394158184144,2.661887521527314,2.4087575003688695,1.9555665626646386,1.9072365960659565,2.289878159829908,2.2460296113253713,3.166664394428968,2.2360834839533794,Turag
10,1.793110602476425,1.6019794235925027,2.6708980220234295,2.230150129412337,3.56928509623948,3.1868810977061908,1.5701756357376382,1.3789615017729249,3.5829648725865546,3.170668016581157,3.4538765258500996,2.6748449233999363,Buriganga
11,2.0173962324404804,1.7297213556496633,2.809373401711689,2.3590548005731473,4.330565298104712,3.259306798704413,1.3393115849727657,1.239296191249891,4.0563374035205975,3.7889914669280826,3.7003566398473593,2.8619436287187856,Buriganga
12,0.7678762961380522,0.5977996202512478,1.9811303368005067,1.7207084264857355,2.323301902262222,2.013956330954247,1.2006448936438723,1.1330174177014203,2.043710451660839,1.8825278579481413,1.7179167572565381,1.2870744844323583,Balu
13,0.6667470637106698,0.5703641939579905,1.6023275038924492,1.4781827930265317,2.390649097949475,1.9641232281749856,1.2812922074952442,1.1523866398650424,1.663255971747417,1.4419901579003052,1.6592953389194154,1.2039001347834852,Balu
14,1.6607056571208687,1.3305188736847582,1.6728730735551067,1.2927239922154203,2.7488372377490036,2.272350903674776,1.9950277297426902,1.738848567182395,4.058565548376086,3.9661853159677265,2.111872772760104,1.8769840489869305,Shitalakshya
15,1.4632446113746136,1.185031959595749,2.6632431309603812,2.1436240751657927,2.8800136302795787,2.479000095514141,1.9535972101382304,1.6367912206922495,5.195690583813416,4.286079576174021,2.960782964283165,2.1292422255491497,Shitalakshya
16,1.423491635850749,1.2428026846405529,2.6314549876047297,2.2455038012570943,3.487039027093128,2.5612258968455346,2.0469294943249374,1.7460282170218884,4.791982644649299,4.127041418217412,3.114252580370205,2.0962270291657603,Shitalakshya
