Stations,River,Lat,Long,CrR,NiR,CuR,AsR,CdR,PbR,FeR,variation_2017-2018,variation_2018-2019,variation_2019-2020,variation_2020-2021,variation_2021-2022,dem_point_value,dem_mean_5km,dem_std_5km,dist_to_nearest_BF,dist_to_nearest_IND,num_within_5km_BF,num_within_5km_IND,awei_Mean_5km,awei_Std_5km,bui_Mean_5km,bui_Std_5km,evi_Mean_5km,evi_Std_5km,mndwi_Mean_5km,mndwi_Std_5km,ndbi_Mean_5km,ndbi_Std_5km,ndbsi_Mean_5km,ndbsi_Std_5km,ndsi_Mean_5km,ndsi_Std_5km,ndvi_Mean_5km,ndvi_Std_5km,ndwi_Mean_5km,ndwi_Std_5km,savi_Mean_5km,savi_Std_5km,ui_Mean_5km,ui_Std_5km
S1,Dhaleshwari,23.91026,90.229845,92.69,19.18,40.34,7.96,2.66,50.73,26700,14.396884182174338,8.830318519425399,11.964628223963434,10.162626509957558,10.22651913973229,-45.0,-44.633938,3.9385362,2647.4022475010415,522.3260020223203,5,11,-0.9697336056026296,0.1252197069559207,-0.392400024230986,0.26858123559638,0.3701429487766261,0.19672869382147554,-0.2587782593439704,0.08437714379151201,-0.06557941935229833,0.11067874410017987,-0.02304474102611793,0.08727067824704861,-0.2587782593439704,0.08437714379151201,0.3269176640167719,0.1665297337688414,-0.3151271625169122,0.13997082413418477,0.2684633460410532,0.13841387593726304,-0.19668329050587605,0.14428513413049457
S2,Dhaleshwari,23.858227,90.240038,88.4,17.21,41.56,9.88,2.97,38.9,34970,12.920722126999673,9.676226330395037,13.48925175481554,10.422660586026772,11.249438867123734,-51.0,-45.28264,3.612707,3113.5579014541768,3000.6259406204745,4,3,-0.9755447899827727,0.12165329029151116,-0.40465559405638607,0.2705627838959777,0.38358950475855097,0.19511939735195352,-0.2676620789094691,0.08338521114498018,-0.06813776544825907,0.11101037882326933,-0.02471877248354303,0.08796328325355318,-0.2676620789094691,0.08338521114498018,0.3365567437247596,0.16791432735538878,-0.32597133412945034,0.14051803796234608,0.278608870109005,0.13787832102109238,-0.1977075824826223,0.14879288193832896
S3,Dhaleshwari,23.802571,90.24539,66.92,37.52,49.47,15.48,2.1,32.79,23970,11.9662861165524,10.48310990042442,15.4599759222984,10.687158219066275,11.446217964413973,-52.0,-46.59,2.8372219,1841.6947273744488,1298.5859859339375,11,7,-0.9691298708684298,0.13385075714700773,-0.34478583387217693,0.2954592287559463,0.353003540241614,0.21268083249949218,-0.26801949932401387,0.08692406464144273,-0.04003725167160625,0.11628868602110357,-0.00541023101229852,0.08861720061132812,-0.26801949932401387,0.08692406464144273,0.30495741075941835,0.186484216950039,-0.2995392746589459,0.16087512592072634,0.25605682547882364,0.15266280874235394,-0.15110981652665362,0.15973820254229162
S4,Dhaleshwari,23.754298,90.246581,55.56,26.08,69.77,18.77,1.79,43.4,23990,21.3854115654587,15.447605492980736,20.766507508978126,13.685775791707478,13.207537544890629,-53.0,-47.39642,2.5017934,2737.5037789701714,317.0528834789957,8,5,-0.9666229762212617,0.13336914617011056,-0.41357936097090753,0.28781653956999714,0.40457452124173626,0.20867139729151749,-0.2771334957076614,0.08408171199530534,-0.0659323891181322,0.11003383908170428,-0.026652040547923823,0.08364538560083493,-0.2771334957076614,0.08408171199530534,0.34774805909138573,0.1834103624354007,-0.33145111572707203,0.1604348334491204,0.2935823590950189,0.149311822117484,-0.19632981670462707,0.14706580338275393
S5,Dhaleshwari,23.702157,90.277077,64.5,30.62,73.19,20.96,1.45,53.55,35130,18.108140507672214,14.249969392752204,17.32051399771466,12.567463475350962,11.587011304276853,-47.0,-48.142467,2.4061248,1637.673006119029,3307.4418880571757,1,3,-0.9752061744709084,0.11533977182217772,-0.38549069314906476,0.2771917599807297,0.38673912363720153,0.20649438038439408,-0.27688045674336226,0.07511239375816882,-0.052333013754029385,0.10317718564624247,-0.015976739740066345,0.08106711332468844,-0.27688045674336226,0.07511239375816882,0.33312901198482564,0.17800414143067006,-0.31935131496693914,0.15016941987939486,0.27908058010310377,0.1466095031271781,-0.18114025081072188,0.13971459787864912
S6,Dhaleshwari,23.657826,90.317763,60.35,11.72,98.28,10.42,0.82,37.88,38700,14.453125,9.826839495592557,9.757080476656872,7.77844943682664,10.254830843943846,-51.0,-48.655735,2.2784579,3880.1679701568673,1519.7527158119792,4,4,-0.9708592750139956,0.11692690596475645,-0.42091483050838235,0.27507690282261327,0.4034676591923607,0.20713176939660713,-0.2672395725990371,0.07459052944374563,-0.07180033531969214,0.10933167384031628,-0.031931106567620715,0.08543365319264741,-0.2672395725990371,0.07459052944374563,0.34928726768659624,0.17175122899110876,-0.3279555066396305,0.14478894751364846,0.2901440379358988,0.14507908735981362,-0.20660442597831902,0.14544550817030835
S7,Dhaleshwari,23.628,90.388647,69.37,14.95,96.72,19.88,0.97,33.47,43480,16.136396098596148,12.517981758080312,13.445891487104147,11.36230309337251,14.38374857166177,-50.0,-49.021744,2.1153145,311.4319977394248,4735.7915559180465,34,1,-0.9626868107838226,0.1352936790128848,-0.36970017281600814,0.2760915582614538,0.37328486708614805,0.20389876073303537,-0.2676274478325448,0.08262951142983196,-0.04772593049219607,0.10898897295426582,-0.013189829574017252,0.08584009591242658,-0.2676274478325448,0.08262951142983196,0.3219811865389512,0.17402078550933503,-0.30701612701234987,0.14787083508475715,0.26828169839004185,0.14393352717733046,-0.1670084414248956,0.1476873438025074
S8,Turag,23.877666,90.350573,15.7,40.76,73.87,11.36,2.17,98.1,45600,23.558908749591904,13.604156464250735,15.143318437806071,14.988369245837413,12.810280974534772,-50.0,-45.429237,4.9200706,719.9673250950344,936.1475165964056,6,7,-0.9122566494138726,0.21437074767036254,-0.2736387879105457,0.28152350866193526,0.28907527174289904,0.2194828832064883,-0.22561674327401837,0.12709026414640284,-0.02459413631403754,0.11739990386475536,0.005743803405776948,0.09065849612604172,-0.22561674327401837,0.12709026414640284,0.24963357042480885,0.1839160441293,-0.24564210098651412,0.1640655449828237,0.2059866586617125,0.15236517544501585,-0.12351370594977215,0.15830379941466577
S9,Turag,23.826986,90.342201,12.74,39.43,87.2,10.78,3.6,170.4,47900,25.581282647730987,12.077237389813908,17.010743143976494,15.88911504244205,14.841326926216128,-51.0,-45.847088,5.1381702,1772.5403499693405,3219.0366248878186,11,2,-0.9115689783506974,0.20986616135840908,-0.2686285480652377,0.2972428145303358,0.2790897823799651,0.22465547321244872,-0.21484538161780206,0.11980799116737467,-0.02805950380664116,0.12558127504993294,0.0030334954135069403,0.09743061386287329,-0.21484538161780206,0.11980799116737467,0.24104749976288148,0.18753766497488758,-0.23788308461699803,0.16504887225151776,0.1989802855526132,0.1566817736625488,-0.12759545398870145,0.16985404703749699
S10,Turag,23.792572,90.339601,11.13,47.01,80.78,18.9,2.79,108.6,50395,18.297140262814235,8.358456782566112,14.165671931113287,11.364343576558928,12.147634059745348,-45.0,-46.211437,4.946003,1448.8200037403863,803.2573591207005,32,3,-0.9268317546293331,0.19199131006910636,-0.18609128230157523,0.2952210320690654,0.22410979426963512,0.21620890551725866,-0.21265981393296896,0.10676901305954863,0.006925293108957833,0.12314342038181245,0.02837457876281781,0.09469101263101305,-0.21265981393296896,0.10676901305954863,0.19327916506438417,0.1844597716403683,-0.2025312372555137,0.16128354269067474,0.15980991320108817,0.15160269803555926,-0.07094646221135317,0.16876734626009643
