Stations,awei_Mean_5km,awei_Std_5km,bui_Mean_5km,bui_Std_5km,evi_Mean_5km,evi_Std_5km,mndwi_Mean_5km,mndwi_Std_5km,ndbi_Mean_5km,ndbi_Std_5km,ndbsi_Mean_5km,ndbsi_Std_5km,ndsi_Mean_5km,ndsi_Std_5km,ndvi_Mean_5km,ndvi_Std_5km,ndwi_Mean_5km,ndwi_Std_5km,savi_Mean_5km,savi_Std_5km,ui_Mean_5km,ui_Std_5km
S1,-0.9709739358621581,0.12178232643825516,-0.39868681707830045,0.26656068559033264,0.3750447929493227,0.19477624746106015,-0.26143459965050886,0.08298180907101334,-0.06730541315005284,0.11069685976765044,-0.024125541359815775,0.08779478401426191,-0.26143459965050886,0.08298180907101334,0.33149781970061926,0.16441862366015872,-0.3193628829817513,0.13749554602020647,0.2723340123126908,0.13677499244596752,-0.20037664216644585,0.1434579308238568
S2,-0.9770163181751458,0.11714495759662533,-0.40961917445996315,0.26441332341524104,0.38862840419817934,0.19155035892574976,-0.2711185428103981,0.08148549743844336,-0.06873043992658481,0.10846614699666454,-0.025106417325850023,0.08653928113012795,-0.2711185428103981,0.08148549743844336,0.3409273398672778,0.1640866866414537,-0.329941487811326,0.136941865519146,0.28230828697248683,0.13507934700597196,-0.20011959071625263,0.14441203070155972
S3,-0.9722199902239849,0.12564037524181368,-0.3582528612566748,0.291228567712564,0.36135253100173415,0.21017628918376807,-0.2693727773173384,0.08379368321024765,-0.04582145794107951,0.11564790380113665,-0.009270049152499564,0.08909009316540932,-0.2693727773173384,0.08379368321024765,0.3126725212410937,0.18282368847333025,-0.3062275524633295,0.15659211851152072,0.26219586799472683,0.1504374285435027,-0.160538275990429,0.15754917600498597
S4,-0.9717238208898108,0.12279500488024017,-0.41939190113394786,0.2850685916491899,0.40821990254491775,0.20696610042038333,-0.2784900416371814,0.07995202057114588,-0.0681373008591289,0.11095325287180628,-0.02800409674643638,0.08547098706845123,-0.2784900416371814,0.07995202057114588,0.3514372335384569,0.17995146983349614,-0.33486046411063397,0.1551275252193426,0.2959795022477004,0.14771397217779858,-0.1989399612849174,0.14845105063144493
S5,-0.9749559181842171,0.11621557663811506,-0.3884712543589623,0.2780868947033566,0.3879191958524984,0.2072067806931195,-0.2752016770359808,0.07647473734995491,-0.05433627686070721,0.10493933022992027,-0.017474974741257386,0.08258643209760105,-0.2752016770359808,0.07647473734995491,0.3342045768393641,0.17788898323589816,-0.3195344681067479,0.15006737674832196,0.27988057827553553,0.14715864718187213,-0.18320625045387776,0.1415697978202578
S6,-0.9728100383974329,0.11315878115352823,-0.4313854680340363,0.27212328874513225,0.4108064397777584,0.2052709907853466,-0.2698338709897598,0.07328718855840634,-0.07561689704305011,0.10819205138327058,-0.0346570963010094,0.08498815540238226,-0.2698338709897598,0.07328718855840634,0.3559787019689683,0.16993181444562985,-0.3338746529911223,0.14287572547783542,0.29581917188436235,0.1437583174880687,-0.21247519751836896,0.14365151172257723
S7,-0.9637712460572159,0.13223342162428992,-0.36874938464817464,0.2767178203974966,0.37226186869051475,0.20527782754763868,-0.2676496074417723,0.08247450948814534,-0.0473223154234547,0.11045405244199191,-0.013029716557608245,0.0868574052364214,-0.2676496074417723,0.08247450948814534,0.3214991470974001,0.1737283533918603,-0.30667191301751745,0.1473243638089809,0.26741123513204273,0.14453934983076747,-0.16680017564315577,0.14909664870933245
S8,-0.9206809787918858,0.20401030850758564,-0.27717146548485755,0.28053782625324514,0.2940646445478347,0.21849880988824674,-0.230703870214873,0.1230642355964644,-0.023973052121524587,0.11625937086643118,0.00589181701384175,0.08946316499881861,-0.230703870214873,0.1230642355964644,0.2537005174923261,0.18281886935375297,-0.24995690328965176,0.162305652239508,0.2093106783013272,0.1517791336051525,-0.12335589805572353,0.15808365196947344
S9,-0.9275725539929512,0.19262605242174155,-0.26237200592480314,0.28816077731007045,0.27927689909023695,0.21747539726158735,-0.22629413163691262,0.11397591591188129,-0.02037031395114381,0.12030090271372873,0.009187582095108778,0.09340553699679013,-0.22629413163691262,0.11397591591188129,0.2423614824714636,0.18276477565220578,-0.24205170820820435,0.1598211132067056,0.19977036630060258,0.15216261746927148,-0.11915655954499413,0.163843632797945
S10,-0.9332128847647477,0.18480236252733245,-0.19756490992048353,0.2875283259444448,0.23390933596715313,0.21213297714895882,-0.2194274364466008,0.10585647365944124,0.004981670147791375,0.11796555190342779,0.02737171466464052,0.09065499748331374,-0.2194274364466008,0.10585647365944124,0.20274988636337932,0.1816907964331943,-0.21122498489123015,0.15893010935805207,0.1672439606842171,0.1491080823163393,-0.07664606151528296,0.16271788096896786
S11,-0.9730152962045545,0.13043443913944006,-0.2515792398591561,0.28089709923730966,0.2894897337235167,0.21584980786976427,-0.25216309108046436,0.08792854965078004,-0.003266448629197796,0.10549681277160268,0.01908778316209065,0.08178190648176686,-0.25216309108046436,0.08792854965078004,0.24833108329308948,0.18244040804676753,-0.2505694475029272,0.15346064398729292,0.20536267116607518,0.15181305879030874,-0.09406412492258294,0.155145398092918
S12,-0.9458548282636292,0.17139931386854318,-0.19398041785140158,0.2577326765282797,0.24022329981736848,0.19461308547323444,-0.22583989690101133,0.09794142114865512,0.012200993873787374,0.10226060193654703,0.030306411047437493,0.07739426599609311,-0.22583989690101133,0.09794142114865512,0.2063139604937596,0.1666246380980375,-0.21121821242642794,0.14765063776955267,0.16966241708143479,0.1366226235739352,-0.06080744917950008,0.14210203260592916
