Location,CrW,CrR,NiW,NiR,CuW,CuR,AsW,AsR,CdW,CdR,PbW,PbR
Balu,-3.1837820894255406,-3.770250172738022,-1.678090240496478,-1.9977557525908014,0.19611134940477976,-0.2935498257571439,-1.2866464887484526,-1.5232606572119147,2.06271534572468,1.7382468512001172,1.045272419912542,0.16585286299624105
Buriganga,-0.36298043181373524,-0.7475441120929682,-0.4370098084330295,-0.9492333260773826,1.6727228294374243,1.0992426790160401,-0.8356379561390097,-1.1349523247334612,4.158845878409377,3.884115038603558,3.2099224256203756,2.4704921013415544
Dhaleshwari,-0.5216303244685344,-0.9477576549729878,-1.5222991374990318,-2.288062125344464,0.5033700146091972,-0.09504091370946201,-0.08254957450216248,-0.49053567313956503,2.434765897900919,1.880295016249251,1.3389984409957603,0.44628774454848946
Shitalakshya,-1.024338462640998,-1.5709312415378374,-0.9770011951917404,-1.5862461790686815,0.9137987503014958,0.28971797100458113,0.08927996627368996,-0.3660025482294616,4.736786395535699,4.385860079377339,2.389633341276777,1.5784092242302175
Turag,-3.061036744063097,-3.370026359033139,-0.4711782513962281,-1.2706920995904314,0.5878024868859084,0.25288411740134364,-0.35478582977757595,-0.5599053748484323,3.0791504520933946,2.6339887838714393,2.959900219569638,2.023723754253932
