Stations,River,Lat,Long,CrW,NiW,CuW,AsW,CdW,PbW,FeW,variation_2017-2018,variation_2018-2019,variation_2019-2020,variation_2020-2021,variation_2021-2022,dem_point_value,dem_mean_5km,dem_std_5km,dist_to_nearest_BF,dist_to_nearest_IND,num_within_5km_BF,num_within_5km_IND,awei_Mean_5km,awei_Std_5km,bui_Mean_5km,bui_Std_5km,evi_Mean_5km,evi_Std_5km,mndwi_Mean_5km,mndwi_Std_5km,ndbi_Mean_5km,ndbi_Std_5km,ndbsi_Mean_5km,ndbsi_Std_5km,ndsi_Mean_5km,ndsi_Std_5km,ndvi_Mean_5km,ndvi_Std_5km,ndwi_Mean_5km,ndwi_Std_5km,savi_Mean_5km,savi_Std_5km,ui_Mean_5km,ui_Std_5km
S1,Dhaleshwari,23.91026,90.229845,106.58,34.35,69.95,9.12,4.43,105.9,29400,14.56886019764189,9.441846007041082,12.45960775241992,10.64710730060507,10.933738641374674,-45.0,-44.545135,3.966224,2647.4022475010415,522.3260020223203,3,10,-0.9695794778526113,0.12566640064305384,-0.39187474822919344,0.26851559212169596,0.3696604937649146,0.19675268406008314,-0.25845658072638134,0.08457411835191396,-0.06542975004207578,0.11039190440023562,-0.022997435049313217,0.08688901845524369,-0.25845658072638134,0.08457411835191396,0.3265249417222635,0.16673345379242133,-0.3146600331407801,0.14031817747817138,0.26807064884214654,0.13852396473591946,-0.19623728595558684,0.1442246304671334
S2,Dhaleshwari,23.858227,90.240038,104.28,27.1,75.12,13.79,3.82,96.14,32100,12.361292841084067,8.71352046901996,12.524669090803942,10.150653143546998,10.545177870470104,-51.0,-45.338905,3.5476036,3113.5579014541768,3000.6259406204745,2,2,-0.9755189620930368,0.12186903688985466,-0.403840896374017,0.2714292580982713,0.38291625648708943,0.19566214585438876,-0.26728766858723585,0.0834961472153334,-0.06796016741108982,0.11139862461059276,-0.024577148033320995,0.0882394005918823,-0.26728766858723585,0.0834961472153334,0.33592092332977364,0.16841726977642812,-0.3254349817392308,0.1408625744074784,0.27808519739879095,0.13827987253004995,-0.1972529478675456,0.14946066436159716
S3,Dhaleshwari,23.802571,90.24539,89.77,59.33,71.13,26.17,2.95,77.36,27970,12.064360121736993,9.702091360577167,14.656331552580404,9.410580419428761,11.115006759150155,-52.0,-46.650517,2.6487684,1841.6947273744488,1298.5859859339375,9,7,-0.9688392694789232,0.13498631048561224,-0.34093193346798173,0.2958605099270077,0.35067455831877614,0.21306883151928413,-0.2675935594272713,0.0873437245793127,-0.038435905690392826,0.11618885681133119,-0.004231031095412822,0.08836174910888456,-0.2675935594272713,0.0873437245793127,0.3026946946307962,0.18697899152253405,-0.29765485389560026,0.16145508793543792,0.2542916526031723,0.15297829468160093,-0.14864153385723322,0.1599211312446538
S4,Dhaleshwari,23.754298,90.246581,71.55,49.17,92.34,25.35,2.36,90.48,25780,23.072015672553515,17.2670984811792,21.462651177248773,14.400785073483165,14.33969970577817,-53.0,-47.438057,2.5258827,2737.5037789701714,317.0528834789957,5,4,-0.9663107144585794,0.13392843110756839,-0.414045174930761,0.2872971294995138,0.4050303361379701,0.2083612194595366,-0.27733073844328543,0.08429513810293368,-0.06600029451794995,0.10960312601811056,-0.026755037393159292,0.08317635563562555,-0.27733073844328543,0.08429513810293368,0.3481389717306772,0.18328367438441284,-0.3317049808645086,0.16056787759842645,0.2939386159128753,0.14911868369814718,-0.19654501150111725,0.14652872474286247
S5,Dhaleshwari,23.702157,90.277077,100.15,50.68,100.22,28.37,2.1,79.1,36480,18.609892215049413,13.663423238464265,17.858614482653927,13.098473950163015,11.30223883294417,-47.0,-48.02791,2.4802105,1637.673006119029,3307.4418880571757,1,2,-0.9754240428364919,0.11493148021507306,-0.38578369808572543,0.27638228142392735,0.3869129308154334,0.20613220610345906,-0.2770275329797295,0.07493971870664486,-0.05241192343083207,0.1026981516589306,-0.015971133398914025,0.08077200509876667,-0.2770275329797295,0.07493971870664486,0.33333441975007655,0.17763470498786849,-0.31958340276275266,0.1497755628647232,0.2792287479601716,0.1463283911837201,-0.18139733189866114,0.13915958473802695
S6,Dhaleshwari,23.657826,90.317763,86.2,23.32,189.14,14.2,1.5,63.44,35130,14.372591826850092,9.960529454713694,9.68835618914054,7.786577122987616,10.040048868294164,-51.0,-48.67637,2.2909167,3880.1679701568673,1519.7527158119792,2,4,-0.9703873794784474,0.11769269371494445,-0.4199370219827514,0.27576991257135397,0.40277515504222366,0.20773689933254075,-0.2667667306697624,0.07485591727318736,-0.07156199335605834,0.10960092053932953,-0.03179500995279375,0.08557074889138133,-0.2667667306697624,0.07485591727318736,0.3485535341043081,0.17218881487442947,-0.32727072353614356,0.1452438089298414,0.289568421655316,0.1454738061088524,-0.20615668475033963,0.1458225078533979
S7,Dhaleshwari,23.628,90.388647,105.53,22.18,112.23,21.37,1.36,40.55,38900,16.452024491979383,12.849072153024268,13.384201661232838,11.022294351952924,14.14849166130513,-50.0,-48.972412,2.109034,311.4319977394248,4735.7915559180465,28,0,-0.9620584307603796,0.13672200732494857,-0.36887490591097105,0.27689543655433724,0.3726097419654947,0.20431683762158878,-0.2672261042474943,0.08306850016893418,-0.04751859700519892,0.10916751931143534,-0.01304770134161782,0.08596855536724793,-0.2672261042474943,0.08306850016893418,0.32136142941657664,0.17462836101941612,-0.30642450841132685,0.14853596219116444,0.2678371197471764,0.14428056901213013,-0.16660474957343124,0.14792475908487848
S8,Turag,23.877666,90.350573,18.19,81.17,100.19,12.54,3.69,233.47,44210,25.319162009961616,14.18066087861723,16.07756034439135,16.11587424366194,13.471311564291447,-50.0,-46.12931,4.607535,719.9673250950344,936.1475165964056,4,4,-0.9112953364058466,0.21560688174353404,-0.27345065140159724,0.28158334977928595,0.2887264217277759,0.2194505328045231,-0.2253600828489442,0.12760159185732642,-0.02456540193609482,0.1173950302651988,0.005760575500141283,0.09066437488665537,-0.2253600828489442,0.12760159185732642,0.2494714088776092,0.18409073637312268,-0.2453677862555225,0.1643794058869412,0.2058168639171815,0.15241007352924157,-0.12344127985333815,0.15833653973707587
S9,Turag,23.826986,90.342201,17.16,85.22,105.64,14.23,5.14,250.11,43980,27.878422045673055,11.21982780432441,18.280971004330194,16.5346162465391,16.450759410399694,-51.0,-46.096786,5.3218985,1772.5403499693405,3219.0366248878186,6,1,-0.9082233889423741,0.2131170299127199,-0.2689750684764822,0.29832402874926733,0.2782377878428898,0.22550252205833324,-0.21229133088195923,0.12074144366226891,-0.0292495648454557,0.12593958852660303,0.002037712663425684,0.09757480449154118,-0.21229133088195923,0.12074144366226891,0.24020136714509407,0.1883284050564273,-0.23646914332925634,0.1660199586839333,0.19826742190690957,0.15725368543145127,-0.12881412477826396,0.1703386105713899
S10,Turag,23.792572,90.339601,13.56,57.59,98.65,19.87,2.9,217.8,47390,18.191150212172253,8.78563011906225,14.282228856872283,11.731282214398798,12.797565260136917,-45.0,-46.316338,5.0684466,1448.8200037403863,803.2573591207005,27,3,-0.9254244857811792,0.19349561049053166,-0.18504288849915998,0.2967321210930544,0.22298904939362005,0.21709745336859707,-0.21151789995213888,0.1070057305575102,0.006871630164065334,0.12407945615705718,0.028207753700275798,0.09540432261608987,-0.21151789995213888,0.1070057305575102,0.19218814328805964,0.18508264159054813,-0.20141519336469937,0.16188518847052583,0.1589585001187996,0.15216022215591213,-0.0705626283730974,0.16979932284984384
