point_id,variation_2017-2018,variation_2018-2019,variation_2019-2020,variation_2020-2021,variation_2021-2022
0,14.396884182174338,8.830318519425399,11.964628223963434,10.162626509957558,10.22651913973229
1,12.920722126999673,9.676226330395037,13.48925175481554,10.422660586026772,11.249438867123734
2,11.9662861165524,10.48310990042442,15.4599759222984,10.687158219066275,11.446217964413973
3,21.3854115654587,15.447605492980736,20.766507508978126,13.685775791707478,13.207537544890629
4,18.108140507672214,14.249969392752204,17.32051399771466,12.567463475350962,11.587011304276853
5,14.453125,9.826839495592557,9.757080476656872,7.77844943682664,10.254830843943846
6,16.136396098596148,12.517981758080312,13.445891487104147,11.36230309337251,14.38374857166177
7,23.558908749591904,13.604156464250735,15.143318437806071,14.988369245837413,12.810280974534772
8,25.581282647730987,12.077237389813908,17.010743143976494,15.88911504244205,14.841326926216128
9,18.297140262814235,8.358456782566112,14.165671931113287,11.364343576558928,12.147634059745348
10,6.65720392588965,4.221249591903363,4.499648016650343,3.4686938867123733,4.860941070845577
11,9.600090801501796,8.039503754489063,7.509743307215149,6.854620674175645,7.675277505713353
12,22.545808847535096,12.444141772771793,13.849141976820112,14.491001469147893,16.095713965066928
13,30.93423522690173,18.593520445641527,18.41319274404179,19.95375754978779,21.212353085210577
14,28.319100963108063,14.573896098596148,18.745153852432257,19.06691254489063,22.006738695723147
15,12.688489634345412,7.650919237675481,9.369261141038198,8.668992817499184,8.618618388834475
16,9.336868470453803,7.068871408749591,6.505825579497225,5.2492705272608555,6.040340352595495
