Stations,dem_point_value,dem_mean_5km,dem_std_5km,dist_to_nearest_BF,dist_to_nearest_IND,num_within_5km_BF,num_within_5km_IND
S1,-45.0,-44.545135,3.966224,2647.4022475010415,522.3260020223203,3,10
S2,-51.0,-45.338905,3.5476036,3113.5579014541768,3000.6259406204745,2,2
S3,-52.0,-46.650517,2.6487684,1841.6947273744488,1298.5859859339375,9,7
S4,-53.0,-47.438057,2.5258827,2737.5037789701714,317.0528834789957,5,4
S5,-47.0,-48.02791,2.4802105,1637.673006119029,3307.4418880571757,1,2
S6,-51.0,-48.67637,2.2909167,3880.1679701568673,1519.7527158119792,2,4
S7,-50.0,-48.972412,2.109034,311.4319977394248,4735.7915559180465,28,0
S8,-50.0,-46.12931,4.607535,719.9673250950344,936.1475165964056,4,4
S9,-51.0,-46.096786,5.3218985,1772.5403499693405,3219.0366248878186,6,1
S10,-45.0,-46.316338,5.0684466,1448.8200037403863,803.2573591207005,27,3
S11,-53.0,-46.81304,4.5491138,4129.629165839301,3511.586937439926,1,1
S12,-54.0,-48.730057,2.793475,3132.7695706949667,392.6385263518003,8,17
S13,-47.0,-48.387615,2.485078,6445.100699270381,1876.2985818562665,0,4
S14,-51.0,-47.97589,2.9380875,8040.810471799635,1571.760205066154,0,2
S15,-52.0,-44.84094,4.0451846,2152.770121047144,1485.083127104422,5,4
S16,-54.0,-47.55441,2.586322,5308.323481352851,791.0691497358899,0,15
S17,-54.0,-47.30877,2.7028432,3093.2433911580706,296.99480221039283,7,16
