Location,CrW,CrR,NiW,NiR,CuW,CuR,AsW,AsR,CdW,CdR,PbW,PbR,m_pliW,m_pliR
Balu,0.16603516966083393,0.11597272891111463,0.4780624549471434,0.3958373924769987,1.70586881778225,1.2931119666004647,0.6109324752215253,0.5538025612067677,6.382157453801076,5.335312925059411,3.0777976611429607,1.7733597183105139,4.745953643755732,3.935476685854077
Buriganga,0.8537078489004195,0.6175306167964243,0.8093157556764248,0.536750086929255,3.5274499518518105,2.2209546706544274,0.6278035856374931,0.47750136282189404,19.619949845118146,15.433064089451815,10.139262605817295,5.744934285698564,14.493279581498761,11.305387467205836
Dhaleshwari,1.0184198776793731,0.7893189314517984,0.5622727784781095,0.3492124933562973,2.143738336880712,1.4237685410483556,1.4901952063110981,1.1310442146496185,8.854002813747394,6.347929480795747,3.9471167300091454,2.0878016740159318,6.623608484209584,4.722236766610756
Shitalakshya,0.7339495966323938,0.522817073897439,0.8375909304918366,0.5792510792231321,2.9445351332724563,1.9028594438959499,1.595687798578019,1.2058385385251285,40.69148805147003,32.12782338552102,8.425368835356196,4.625214704262921,29.501120575671752,23.22516698713049
Turag,0.12444769203598467,0.09508677200675582,0.7554337547833251,0.40124649762237413,1.5444755322452426,1.1539937065131562,0.8130320592578221,0.6726196158277076,8.976322672929584,6.113025654141768,8.012732845048083,4.04849630169559,6.958066567724484,4.5662579665844545
