,CrW,CrR,NiW,NiR,CuW,CuR,AsW,AsR,CdW,CdR,PbW,PbR,m_pliW,m_pliR
count,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,0.6908010027578384,0.520350044075897,0.6641023486129053,0.42653853781430034,2.2905786996462476,1.5391219125338584,1.1844116552590145,0.9185465772743033,15.469745086309945,11.80557691256359,6.081073099129257,3.2748431025885414,11.424781604127341,8.641862384325877
std,0.3927053390657182,0.33273507276703473,0.2712275096579881,0.19647277890504458,0.9234333096067052,0.46889031465270214,0.5919200763016507,0.4385943410232625,13.531476862417367,10.606915632150615,3.1062646932472884,1.6194064686964558,9.718430227401955,7.620763880319989
min,0.09820834212562427,0.07580242748949963,0.25901262664448815,0.13757060343517252,1.4289458629340461,0.8158030057509611,0.4965415660572612,0.40455958379150186,3.599862896315339,2.1817226528854436,1.6100122107969148,1.1889239880404783,2.789711740921258,1.7356968808224396
25%,0.19279488582476106,0.12310097939885173,0.38350696353307684,0.32632198722185507,1.6488401798797432,1.1854286782195038,0.7370926216640501,0.5919541160593792,6.300977702750228,4.899948830409357,3.3489569627192974,1.8472971124620061,5.3817474971350725,3.6771856680367905
50%,0.8209227269708442,0.5726315542564324,0.6310892350361197,0.4060488906088751,1.8858405214424951,1.4301414428946453,0.9962898696576689,0.708396427542495,10.859909426766777,7.738622129436326,5.420727695888286,2.9345499999999993,8.074089212574883,5.768230700405371
75%,0.9422616654483431,0.6357702866083493,0.8664156550905856,0.5319104199710365,2.4587385570209466,1.7432496124031007,1.4685852223090716,1.2123863891872988,18.231005818786368,13.423087143415396,8.6238357771261,4.166764794520548,13.48627604235111,9.87127299952922
max,1.2442389266817837,1.1915081564710777,1.182516847622613,0.9159467167990255,4.35073680269562,2.4967332182839947,2.3365205585725373,1.8591249559111167,48.95831773368276,38.6278773397053,12.180790902283787,5.870453205894066,35.57083283676383,27.94297843004259
